12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs,,Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs
48,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Antshel & Waisbren 2003,2003,Digit symbol coding,,,7.8000,2.800,46,490,375,10.30000,2.100,18,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
49,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Antshel & Waisbren 2003,2003,Digit symbol coding,,,0.2000,0.100,46,490,375,0.10000,0.100,18,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
50,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Jahja et al 2014,2014,shifting attentional set-visual,,,15.2000,15.942,21,590,248,8.20000,9.171,73,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
51,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Trimarco et al 2020,2020,Switching combined ,,,7.0000,2.250,15,289,83,10.00000,2.250,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
52,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Bisiacchi et al 2018,2018,TMT–B,,,115.0000,45.900,11,743,84,76.80000,17.600,28,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
53,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,17.7100,11.680,14,491,149,7.61000,3.170,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
54,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,5.0700,1.320,14,491,149,6.00000,1.300,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
55,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 2000,2000,WCST,,,18.2500,8.080,19,777,200,13.77000,7.640,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 2000,2000,WCST,,,4.6500,1.450,19,777,200,5.47000,1.020,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
57,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Stemerdink et al 1999,1999,WCST,,,4.1000,1.900,36,455,250,4.80000,2.000,36,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
58,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Stemerdink et al 1999,1999,WCST,,,11.6000,7.900,36,455,250,7.80000,4.900,36,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
59,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Gassio et al 2005,2005,WCST,,,50.0000,11.000,26,489,181,57.00000,7.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
60,Children,EF-Flexibility,EF-Flexibility-other,ES_large,White et al 2001,2001,WCST,,,68.4800,14.010,23,496,230,71.09000,9.810,23,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
61,Children,EF-Flexibility,EF-Flexibility-other,ES_large,White et al 2001,2001,WCST,,,18.4800,18.820,23,496,230,17.91000,13.440,23,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
62,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,8.8700,2.530,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
63,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,9.2000,2.080,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,6.1500,3.870,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
65,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,TMT–B,,,8.0700,2.740,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
66,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Gassio et al 2005,2005,TMT–B,,,45.0000,13.000,26,489,181,53.00000,11.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
67,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,7.9250,7.151,18,NA,,7.15000,5.890,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
68,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Griffiths 1995,1995,Design fluency,,,18.2000,3.430,10,1014,216,24.50000,3.410,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
69,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,White et al 2001,2001,Phonemic fluency,,,4.1700,2.350,23,496,230,6.43000,3.450,23,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
70,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Aitkenhead et al 2021,2021,Phonemic fluency,,,-0.4400,0.970,150,908,,0.00000,1.000,76,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
71,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Channon et al 2004,2004,Phonemic fluency,,,8.0100,1.640,20,859,,9.76000,2.530,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
72,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Moyle et al 2007,2007,Phonemic fluency,,,39.0000,13.900,12,-,,41.00000,11.100,12,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
73,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Palermo et al 2017/2018,2017,Phonemic fluency,,,35.9000,11.400,37,720,,41.80000,12.900,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
74,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Pilotto et al 2021,2021,Phonemic fluency,,,16.0000,8.000,19,890,,21.00000,2.360,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
75,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Romani et al 2020,2020,Phonemic fluency,,,39.0000,11.000,19,1042,,47.50000,9.300,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
76,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Anderson et al 2002/2007,2002,Phonemic fluency,,,21.8600,7.380,36,490,375,24.38000,5.340,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
77,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Bisiacchi et al 2018,2018,Phonemic Fluency,,,23.6000,8.000,11,743,84,26.90000,9.400,28,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
78,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Phonemic Fluency,,,10.4700,3.640,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
79,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,1.9000,1.200,36,509,285,2.20000,1.400,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
80,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,5.2000,2.500,36,509,285,7.00000,2.600,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
81,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,3.9000,2.500,36,509,285,4.60000,2.700,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
82,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,8.0000,3.400,36,509,285,10.30000,3.500,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
83,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Luna at al 2023,2023,Phonemic fluency ,,,38.6500,12.810,20,586,420,45.10000,7.990,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
84,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Smith et al 2000,2000,Phonemic fluency ,,,19.7900,8.740,19,777,200,20.68000,13.440,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
85,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Griffiths 1995,1995,Phonemic fluency ,,,18.8000,8.950,10,348,,19.00000,9.630,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
86,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Griffiths 1995,1995,Phonemic fluency ,,,33.8000,9.430,10,1014,216,38.90000,8.630,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
87,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Aitkenhead et al 2021,2021,Semantic fluency,,,0.0700,1.000,150,908,,0.00000,1.000,76,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
88,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Moyle et al 2007,2007,Semantic fluency,,,21.0000,11.100,12,-,,23.00000,3.800,12,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
89,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Pilotto et al 2021,2021,Semantic fluency,,,25.0000,9.610,19,890,,34.00000,4.720,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
90,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Bisiacchi et al 2018,2018,Semantic fluency,,,49.6000,11.500,11,743,84,53.50000,13.400,28,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
91,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,9.4000,3.660,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,8.9300,4.000,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
93,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,11.0000,3.920,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,4.1000,1.850,36,509,285,4.45000,1.850,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,7.8500,2.650,36,509,285,8.90000,2.900,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,11.9500,5.850,36,509,285,12.50000,5.800,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
97,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,16.8500,5.550,36,509,285,17.85000,6.450,41,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
98,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,White et al 2001,2001,Semantic fluency,,,16.3000,5.120,23,496,230,16.57000,6.920,23,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
99,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Luna at al 2023,2023,Semantic fluency ,,,23.1000,6.140,20,586,420,26.25000,3.740,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Palermo et al 2017/2018,2017,Semantic fluency ,,,21.4000,6.200,37,720,,25.00000,5.000,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
101,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Romani et al 2020,2020,Semantic fluency ,,,20.1000,4.800,19,1042,,23.50000,3.600,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2004,2004,Brixton scaled-Score,,,6.9500,1.670,20,859,,7.15000,1.140,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
103,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Nardecchia et al 2015,2015,Elithorn's-N solved trials,,,86.8600,23.100,14,-,,108.29000,4.360,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
104,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luna at al 2023,2023,Matrix reasoning subtest ,,,17.4000,5.820,20,586,420,18.35000,4.500,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
105,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy,97.4000,3.850,25,759,,98.80000,2.180,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
106,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,speed,speed,1.1300,0.340,25,759,,1.02000,0.330,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,speed,speed,0.9800,0.240,25,1286,,1.00000,32.000,45,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
108,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,accuracy,accuracy,97.0000,5.950,25,1286,,98.00000,2.610,45,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2004,2004,Six elements-Rules per minute,,,0.5400,0.110,20,859,,0.57000,0.070,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
